code,title,credit,description
ENGR-087,Concurrent Co-op,0,"Part-time employment in a professional or paraprofessional role associated with the student's major. Students register for Engineering 08X in the Xth term of employment. Requires full-time student status, prior approval of the job description by the co-op director or designee and submission of a written summary and evaluation of the work experience. Students are expected to work no less than eight and no more than 15 hours per week. At least 10 weeks of work must be completed during the semester or summer session. May be repeated. Corequisite: Registration for at least 12 hours of course work, of which at least six represent progress toward a degree in engineering or computer science during fall and spring semesters; registration for six hours, of which three represent progress toward the degree during summer."
ENGR-088,Concurrent Co-op,0,"Part-time employment in a professional or paraprofessional role associated with the student's major. Students register for Engineering 08X in the Xth term of employment. Requires full-time student status, prior approval of the job description by the co-op director or designee and submission of a written summary and evaluation of the work experience. Students are expected to work no less than eight and no more than 15 hours per week. At least 10 weeks of work must be completed during the semester or summer session. May be repeated. Corequisite: Registration for at least 12 hours of course work, of which at least six represent progress toward a degree in engineering or computer science during fall and spring semesters; registration for six hours, of which three represent progress toward the degree during summer."
ENGR-089,Concurrent Co-op,0,"Part-time employment in a professional or paraprofessional role associated with the student's major. Students register for Engineering 08X in the Xth term of employment. Requires full-time student status, prior approval of the job description by the co-op director or designee and submission of a written summary and evaluation of the work experience. Students are expected to work no less than eight and no more than 15 hours per week. At least 10 weeks of work must be completed during the semester or summer session. May be repeated. Corequisite: Registration for at least 12 hours of course work, of which at least six represent progress toward a degree in engineering or computer science during fall and spring semesters; registration for six hours, of which three represent progress toward the degree during summer."
ENGR-100,Tech Lrng Skills/Int'l Studnts,3,"Introduces technical concepts to students for whom English is a second language. Reviews basic material from mathematics, physics, chemistry, and computer application with emphasis on problem formulation, technical communication skills, and teamwork. Offered as needed."
ENGR-101,Intro to Engineering,3,"A hands-on introduction to civil, computer, electrical, and/or mechanical engineering. Topics include the use of the computer in engineering and an introduction to the design process. Student teams led by faculty (typically the students' academic advisor) complete design projects in a particular discipline. Prerequisite: Completion of all required English language courses or permission of instructor. Fall."
ENGR-102,Intro Engr Int'l Students,3,"Hands-on introduction to civil,computer, electrical and/or mechanical engineering.Includes the use of computers in engineering and an introduction to the design process. Completion of a project under the direction of a faculty member. Special attention given to proper use of the English language in engineering education and practice. Enrollment limited to students for whom English is a second language. Credit not given for both Engineering 101 and 102. Offered as needed."
ENGR-123,Programming for Engineers,3,"Introduction to structured programming of computers in a modern high level language. Students complete programming projects which include loop and branch constructs, the use of subprograms, algorithm design, arrays, debugging software and techniques, file I/O and class constructs. Spring."
ENGR-189,Technical Skills,1 to 3,An independently studied laboratory course in which students carry out projects designed to teach basic technical skills in the student's field of interest. Repeatable course. Content changes each time course is offered. Repeatable up to three credit hours. Prerequisite: Permission of instructor.
ENGR-212,Statics,3,"Includes resolution and composition of forces and moments using vector analysis, principles and application of equilibrium to trusses, beams, frames and machines, centroid calculations, second moments of areas, internal load determination, shear and moment diagrams, and friction. Prerequisite: MATH-221, with a C- or better or permission of instructor. Fall, spring."
ENGR-213,Dynamics,3,"Covers rectilinear and curvilinear motions, force, mass, acceleration, projectiles, pendulums, inertia forces in machines, work and energy, impulse and momentum, and impact. Prerequisite: Engineering 212 with a grade of C- or better. Fall, spring."
ENGR-230,Materials Science,3,"Introduces properties of materials, discusses bonding, nature of metals, polymers, ceramics, crystals and crystal defects, and structure sensitive and insensitive properties. Prerequisite: Chemistry 118 or permission of instructor. Spring."
ENGR-232,Mechanics of Materials,3,"Covers general principles of stress and strain, including elastic and inelastic behavior stress and strain transformation, stress calculations for direct shear and torsion; analysis of beam behavior, including flexural stresses and deflections, combined stresses, applications involving statically indeterminate systems, and buckling of compression members. Prerequisite: ENGR-212 with a grade of C- or better. Fall, Spring."
ENGR-283,Tech Skill / Archaeologists I,2,"Introduces archaeology students to skills and techniques useful in field work. Topics include introduction to surveying equipment, measurement of distance, horizontal angles, traverses, differential leveling, and mapping. Prerequisite: Sophomore standing. Fall."
ENGR-2TR,Engineering 200-LEVEL Transfer,1 to 6,Engineering 200-LEVEL Transfer Credit
ENGR-352,Numerical Methods for Engineer,3,"Fundamental mathematical principles and techniques of numerical methods and how to apply them, using high level computer languages, to solve engineering problems. Develop skills in mathematical computer modeling and analysis of engineering problems. Prerequisites: ENGR-213 and MATH-324, both with a grade of C- or better, or permission of instructor."
ENGR-366,Fluid Mechanics,3,"Introduces the physical properties of fluids and the mechanics of fluid flow. Covers general properties of fluids, fluid statics and dynamics, and dimensional analysis. Applications studied include pipe systems, aerodynamic drag, open channel flow, and compressible flow. Prerequisite: ENGR-212 with a grade of C- or better. Fall, Spring."
ENGR-390,Applied Engr Mathematics,3,"Develops understanding of practical mathematical analysis with applications in various engineering disciplines. Probability and statistical analysis. Practical numerical analysis. Linear algebra and matrices. Applications in civil, mechanical, and electrical engineering. Prerequisite: Mathematics 222. Fall, spring, summer."
ENGR-409,Engr Econ & Decision Making,3,"Introduction to engineering economy including cash-flow, time value of money, equivalence, annuities, present and future worth, rate of return, break-even analysis, replacement analysis, and benefit cost analysis. Includes industrial cost measurement techniques, risk analysis, and project scheduling and management techniques. Case studies and guests from industry offer realistic perspective."
ENGR-495,Interdisciplinary Desg Proj I,3,"Preliminary planning and conceptual design for interdisciplinary project. Students form teams with members from several branches of engineering and/or other disciplines as appropriate to the project. Students participate in class discussions on professional ethics, scheduling and time management, technology and society, as developed in one of: Civil Engineering 495, Computer Science 495, Electrical Engineering 495, Mechanical Engineering 495. Prerequisites: Permission of the College of Engineering and Computer Science Interdisciplinary Project Committee plus all prerequisites listed for one of Civil Engineering 495, Computer Science 495, Electrical Engineering 495, Mechanical Engineering 495. Fall."
ENGR-497,Interdisciplinary Desg Proj II,3,"Final design and construction of interdisciplinary project. Completion of work begun in Engineering 495. Students form teams with members from several branches of engineering and/or other disciplines as appropriate to the project. Teams make oral and written presentations to faculty advisors and project sponsor(s). Performance standards developed in one of Civil Engineering 497, Computer Science 497, Electrical Engineering 497, Mechanical Engineering 497. Prerequisites: Permission of the College of Engineering and Computer Science Interdisciplinary Project Committee; Engineering 495. Spring."
ENGR-498,Ind Study/Engr Management,1,"Independent research project in engineering management. Requires review of current literature, interviews with professional representatives, and other forms of data collection appropriate for the research topic with results documented in a final research report. Prerequisite: Engineering 390 or 409 and permission of instructor."
ES-103,Fund of Env Science,3,"Introduces interdisciplinary nature of problems relating to the human environment, including social, political, and economic aspects."
ES-240,Alt Energy & Energy Efficiency,3,"The student team in this course will study current and developing alternative energy technologies to learn about the feasibility of installing them in commercial and residential buildings in Evansville. They will gain hands-on experience by taking clients from the community and thoroughly evaluating their buildings' energy use, its available solar and wind resources, waste heat, and power and heating needs. They will do calculations to determine feasibility of using various alternative energy and energy efficiency technologies and make recommendations on their implementation."
ES-299,Special Topics Environ Studies,1 to 4,"(1-4 credits) Lecture, discussion, and/or lab devoted to a topic not covered in regular environmental studies courses. Topics vary depending on interests of faculty and students. May be repeated. Prerequisites announced when scheduled. Fall, spring."
ES-360,Science of Env Pollutants,3,"Using discussion format and student presentations, course clarifies the sources of pollutants and their transport in the environment and discusses monitoring and remediation of pollution. Special attention given to pollution of the atmosphere, surface water, and groundwater. Presumes a familiarity with ecological concepts. Some  discussion of important legislation related to pollution incorporated. Prerequisite: Chemistry 118. Recommended: Biology 118 or Environmental Studies 103"
ES-440,Environmental Law/Regul Proc,3,"Analysis of political and organizational processes that influence the formulation, implementation, and evaluation of public policy. Focus placed on ecosystems, population, biodiversity, and global as well as domestic governance. Prerequisites: Biology 118 or Environmental Studies 103; Political Science 143."
ES-441,Alt Energy & Efficiency,3,"The student team in this course will study current and developing alternative energy technologies to learn about the feasibility of installing them in commercial and residential buildings in Evansville. They will gain hands-on experience by taking clients from the community and thoroughly evaluating their buildings' energy use, its available solar and wind resources, waste heat, and other heating needs. They will do calculations to determine the feasibility of using various alternative energy and energy efficiency technologies and make recommendations on their implementation. ES 441 is appropriate for students who want to earn 400-level credit for the alternative energy course and will assume a leadership/management role in the course. Students who do not want a leadership role are encouraged to enroll in ES 240."
ES-495,Environ Studies Internship,1 to 8,"(3-8 credits) Field experience for environmental studies majors under the supervision of a professional in an environmentally related area. Prerequisite: Written application for internship  must be received by the environmental studies program director prior to beginning the internship. Fall, spring."
ES-499,Adv Spec Topics Env Studies,1 to 4,"(1-4 credits) Lecture, discussion, and/or lab devoted to an advanced topic not covered in regular environmental studies courses. Topics vary depending on interests of faculty and students. May be repeated. Prerequisites announced when scheduled. Fall, spring."
ETH-100,Social Justice Theories,3,"Social justice is about the fair distribution in our society of resources, power, status, rights, access, and opportunities. But what is fair? This course explores different western theological and philosophical theories with respect to the right way to distribute these things and why. We will apply these theories to contemporary issues of social injustice. We will also consider nonwestern ideas about social justice."
ETH-121,Introduction to Ethics,3,Presents a systematic and historical discussion of moral and social values through classical and contemporary readings. Emphasis on applying moral theories to concrete moral problems.
ETH-200,Social Justice Movements,3,This course provides an introduction to the role of world religions in a wide range of liberation struggles and social justice movements from around the globe. 
ETH-201,Comparative Religious Ethics,3,"Provides a comparative introduction to religious moral thinking, paying attention to the basis, nature, content, and consequences of ethical thought and the religious traditions that address them."
ETH-300,Writ for Soc Just and Sco Chng,3,"In this course students will use public writing and critical thinking as a means to create positive social change. Students will identify a social justice issue that deeply concerns them, research the issue, and engage in brainstorming, organizing, drafting, revising, and editing to produce texts that can be used in efforts towards equity, inclusion, and change."
ETH-301,Selected Topics in Ethics/Soci,3,"Studies selected topics related to ethics. Specific topics may vary each time the course is taught. May be repeated for credit as the selection of topics changes. Prerequisite: One course in ethics, philosophy, or religion; or permission of instructor. "
ETH-305,Bible and Justice,3,"Explores the Bible's relationship to contemporary social justice issues. Topics include issues linked to social identity (race, class, gender, sexuality, etc.) as well as global diversity (poverty, globalization, human rights). Prerequistie: FYS 112."
ETH-316,Environmental Ethics,3,Presents a systematic discussion of environmental ethics and key issues therein. Emphasis on applying moral theories to concrete moral problems. Prerequisite: FYS 112.
ETH-317,Bioethics,3,"Considers selected problems in bioethics. Topics may include abortion, euthanasia, and genetic engineering. Prerequisite: Junior or senior standing, FYS 112 or permission of instructor."
ETH-345,Complex Systems,3,"Studies non-linear dynamics involved in multi-agent systems. Focuses on basic complex systems concepts (e.g., adaptability and resilience, constraint, diversity, self-organized criticality, etc.) insofar as they characterize collective behavior in natural and social systems. Specific topics may include collective intelligence and decision making, belief propagation, prejudice reduction, and civil unrest. Prerequisite: Ethics and Social Change major or minor and junior or senior standing, or permission of the instructor. Spring."
ETH-375,Social Change Field Experience,3,"Offers students the opportunity for supervised field experience in an area of work directly relevant to ethics and social change, under the direction of a member of the Ethics Committee. To be completed by the end of sophomore year. Prerequisite: ETH-121. Open only to students majoring or minoring in Ethics and Social Change. "
ETH-421,Ethical Theory,3,"Studies ethical theories from historical and contemporary perspectives. Examines foundational ethical questions from a theoretical perspective. Sample topics include reasons to be ethical, moral realism and moral relativism, moral agency, ethics in relation to religion, law, and politics, etc. Prerequisite: One other course in ethics or permission of instructor. Upper division standing recommended."
ETH-445,"Religion, Peace & Justice",3,"Provides in-depth engagement with religious approaches to ethical concerns in the social sphere, especially related to questions of war and peace, violence and nonviolence, and economic and social justice. Predominantly focused on the Christian tradition, the course will also include engagement with significant figures in selected other religious traditions. Prerequisite: FYS 112 or permission of instructor."
ETH-475,Social Change Field Experience,3,"Offers advanced students the opportunity for supervised field experience in an area of work directly relevant to ethics and social change, under the direction of a member of the Ethics Committee. Prerequisite: ETH-200. Junior or senior standing. Open only to students majoring or minoring in Ethics and Social Change. "
ETH-491,Direct Study Ethics Soc Chnge,1 to 3,Offers the opportunity for independent research in special problems under the direction of a member of the ethics faculty. Repeatable course. Content changes each time course is offered. Prerequisite: Permission of instructor.
ETH-499,Ethics and Social Change,3,"Provides opportunity for integration of the academic study of ethics with a particular ethical problem. Prerequisite: Senior standing and ETH-121, ETH-200 and ETH-375."
EXED-071,Internship,0 to 1,Full-time or part-time employment for a period of 10-16 weeks in a professional or paraprofessional role associated with the student's major. Requires prior approval of the job description by the co-op director or designee and submission of a written summary and evaluation of the work experience. May be repeated for a total of three experiences. Prerequisite: At least 18 hours of course work of which at least nine hours represent progress toward degree completion and must have been taken during the previous two academic terms.
EXED-072,Internship,0,Full-time or part-time employment for a period of 10-16 weeks in a professional or paraprofessional role associated with the student's major. Requires prior approval of the job description by the co-op director or designee and submission of a written summary and evaluation of the work experience. May be repeated for a total of three experiences. Prerequisite: At least 18 hours of course work of which at least nine hours represent progress toward degree completion and must have been taken during the previous two academic terms.
EXED-073,Internship,0,Full-time or part-time employment for a period of 10-16 weeks in a professional or paraprofessional role associated with the student's major. Requires prior approval of the job description by the co-op director or designee and submission of a written summary and evaluation of the work experience. May be repeated for a total of three experiences. Prerequisite: At least 18 hours of course work of which at least nine hours represent progress toward degree completion and must have been taken during the previous two academic terms.
EXED-090,Building a Professional Image,0 to 1,"Seminar for second year students seeking an internship or considering entering the co-op program for the first time. Covers job interviewing, rsum preparation, currently available intern and co-op jobs, and details of program administration. Application for admission to the co-op program is part of this seminar. Fall, spring."
EXSS-112,Human Anatomy and Physiology 1,4,"First half of a two-semester course that provides a comprehensive study of the structure and function of the human body, from the cell to the entire organism. Uses a systems approach emphasizing how these systems work together to maintain homeostasis. Systems studied include: integumentary, skeletal, muscular, digestive, reproductive. Three hours lecture, two hours lab."
EXSS-112L,Human Anatomy/Physiology I Lab,0,Laboratory that accompanies EXSS-112.
EXSS-113,Human Anatomy & Physiology 2,4,"Second half of a two-semester course continues study of the structure and function of the human body using a systems approach. Systems studied include: nervous, endocrine, circulatory, immune, respiratory, urinary. Three hours lecture, two hours lab. Prerequisite: Exercise and Sport Science 112 with a grade of C- or better."
EXSS-113L,Hum Anat/Phys II Lab,0,Laboratory that accompanies EXSS-113.
EXSS-150,Intro to Health Sciences,2,"Overview of the career opportunities available in exercise and sport science. Each student develops a personal profile which includes factors that influence an individual's career choice. Included in this profile is the development of both a personal and professional philosophy, assessment of one's lifestyle preferences, plus a professional research project in one's preferred career choice."
EXSS-201,Intro to Sport Management,3,"This course introduces the student to the sport management profession. Primary focus is on the sport industry, including professional sport entertainment, amateur sport entertainment, for-profit sport participation, nonprofit sport participation, sporting goods, sports tourism and sport services. This class will provide the foundation for concepts related to the management, marketing, legal and social aspects of sport management."
EXSS-211,History of Sport,3,"Using interacting influences of economics, environment, nationalism, norms and values, philosophy, politics, religion, and technology, the evolution of physical activity and sport is investigated. Concentration is placed on Western Civilization and American sports. Special attention devoted to modern Olympic Games."
EXSS-218,Social Aspects of Sport,3,"Explores the social roots of sport in contemporary society. Student thinks critically about sports to identify and understand social problems and issues associated with sports in society. This class examines issues of physical performance and records to see sports as social constructions that influence how people feel, think, and live. Emphasis is placed on American sport and society."
EXSS-220,Essentials of Human Anat-Phys,4,"Provides the essential details of anatomy and physiology of the body systems. Topics and systems covered include cells, tissues and organs, gross anatomy, and physiology of the nervous, endocrine, cardiovascular, respiratory, urinary, digestive, reproductive, muscular, and skeletal systems."
EXSS-221L,Applied Human Anat/Phy Lab,2,"Utilizes an in-depth regional approach to the study of human anatomy through the use of previously dissected human cadavers. Prerequisites: Exercise and Sport Science 112, 221; or permission of instructor."
EXSS-222,Youth Fitness/Health Awareness,2,Students apply professional skills working with young people of various ages from the Evansville community. Students participate in interactive educational workshops. The workshops increase knowledge and encourage healthy lifestyle choices in the youth of Evansville.
EXSS-244,Practicum,1,A directed experience for the student who demonstrates a career interest in one of the majors offered within the Department of Exercise and Sport Science. Prerequisite: Exercise and Sport Science 150 or consent of instructor.
EXSS-245,Practicum,1,A directed experience for the student who demonstrates a career interest in one of the majors offered within the Department of Exercise and Sport Science. Prerequisite: Exercise and Sport Science 150 or consent of instructor.
EXSS-250,Officiating,1,Covers rules and procedures for officiating and provides opportunities for IHSAA certification in specific sports. Also offers practical experience in officiating.
EXSS-255,Recreational Sports Programmin,2,"Examines the fundamental aspects of a recreational sports program in varied settings. These settings  include educational, industrial, correctional, public/private, commercial, and municipal. Upon completion of this course, students understand tournament and facility scheduling, participant development, equipment concerns, legal and financial concerns, and other aspects of recreational sports programming."
EXSS-300,Princ Theory Strength/Cond,3,"Provides practical skills necessary to design strength and conditioning programs. Special emphasis placed on ability to evaluate exercise movements, prescribe appropriate exercise programs, administer tests, and support program prescription with a sound knowledge of anatomical and physiological adaptation to exercise. Includes laboratory experiences that teach skills such as how to organize speed, agility, and quickness drills; how to select and administer appropriate tests for athletic performance; and how to evaluate Olympic lifting technique. Prerequisites: Exercise and Sport Science 112 and 113, or 220."
EXSS-310,Sport Law & Ethics,3,"Provides students with an overview of US law and how it applies to the sport industry. Topics include tort law, contract law, anti-trust law, and constitutional law.  It also helps students learn to question, reason, and think in a fashion that will aid them in ethical dilemmas they may face in their future careers. Prerequisite: Exercise and Sport Science 150 or permission of instructor."
EXSS-320,Nutrition-Performance/Health,3,"Provides an overview of the important concepts of nutrition that are required for athletic performance and general health benefits. Current topics in nutrition, team nutrition, performance, ergogenic aids, and diets reviewed and critiqued. Prerequisite: Permission of instructor."
EXSS-321L,Applied Human Anat/Phy Lab,2,"Utilizes an in-depth regional approach to the study of human anatomy through the use of previously dissected human cadavers. Prerequisites: Exercise and Sport Science 112, 221; or permission of instructor."
EXSS-350,Sport Facility and Event Mgt,3,"The purpose of this course is to educate students with a  broad knowledge in facility and event management.  Students will learn fundamental skills that are necessary for sport managers to run a facility or host an event. Topics include management theory, planning, facility systems, site design, volunteer management, and social responsibility. Prerequisites: Exercise and Sport Science 150; or permission of instructor."
EXSS-352,Exercise Physiology,3,"Introduces the physiological changes associated with exercise and sport training. Concentrates on cardiorespiratory, muscular, and metabolic adaptations to training, and how these changes affect human performance. This course also examines the influence of environmental factors and ergogenic aids upon exercise and athletic performance. Prerequisites: Exercise and Sport Science 112, and 113."
EXSS-355,Practicum Intram-Rec Sports,1,"Because course focuses on practical application of running recreational sports programs, students are required to (1) plan, implement, and research new and existing events and sports offered within the  existing UE intramural program; (2) are on-site during many of the events to gain supervisory experience in event management; and (3) receive individual instruction from the intramural director and staff. Prerequisite: Exercise and Sport Science 255."
EXSS-356,Biomechanics,3,"Covers principles of anatomy, physiology, physics, and other related sciences applied to analysis of motion. Prerequisites: Junior or senior standing; Physics 100 or 121."
EXSS-383,Cur Dev. Lifetime Fitness Act.,3,"Provides an understanding of the concepts, movements, skills, and abilities needed to teach and  participate in various health-related fitness and recreational activities throughout life. Also gives student an opportunity to teach various health-related fitness and recreational activities to diverse populations. Prerequisite: Exercise and Sport Science 112 and 113, or 220."
EXSS-384,Lifeguarding,2,"Provides the knowledge and skills necessary for the student to recognize and eliminate or minimize potential dangers at various types of swimming and diving facilities. Course content includes American Red Cross CPR certification for the professional rescuer. Additionally, the American Red Cross certification is available to successful candidates. Prerequisite: Permission of instructor."
EXSS-388,Exercise Testing and Prescript,3,"Introduces and examines the anatomic and physiologic principles for prescribing exercise. Emphasis on skills required to evaluate fitness levels and develop programs for various components of fitness, including cardiorespiratory, flexibility, body composition, and strength for a variety of populations including a lab component. Prerequisites: EXSS 352; or permission of instructor."
EXSS-388,Exercise Testing and Prescript,4,"Introduces and examines the anatomic and physiologic principles for prescribing exercise. Emphasis on skills required to evaluate fitness levels and develop programs for various components of fitness, including cardiorespiratory, flexibility, body composition, and strength for a variety of populations including a lab component. Prerequisites: EXSS 352; or permission of instructor."
EXSS-400,Princ Theory Strength/Cond,3,"Provides practical skills necessary to design strength and conditioning programs. Special emphasis placed on ability to evaluate exercise movements, prescribe appropriate exercise programs, administer tests, and support program prescription with a sound knowledge of anatomical and physiological adaptation to exercise. Includes laboratory experiences that teach skills such as how to organize speed, agility, and quickness drills; how to select and administer appropriate tests for athletic performance; and how to evaluate Olympic lifting technique. Prerequisites: Exercise and Sport Science 112 and 113, or 220."
EXSS-415,Exercise Physiology II,2,"A continuation of Exercise and Sport Science 352. Focuses on cardiovascular, respiratory, and metabolic responses to exercise. Emphasis on proper laboratory techniques, data collection, and data interpretation. Prerequisite: Exercise and Sport Science 352."
EXSS-415L,Exercise Physiology II Lab,0,Laboratory that accompanies EXSS-415.
EXSS-417,Advanced Exercise Science,3,"Provides an in-depth study of selected topics not contained in the required course work. Topics chosen from the following areas: anatomy, biomechanics, statistical analysis, and exercise physiology. Prerequisites: Exercise and Sport Science 352; or permission of instructor."
EXSS-427,Exercise Testing & Leadership,2,"The application of exercise physiology and prescription to examine the physiologic responses to exercise. Emphasis is placed on appropriate testing methodologies, formulation of exercise prescriptions, and safe exercise leadership in a diverse population of individuals. Prerequisites: Exercise and Sport Science 352, 388; current CPR; or permission of instructor."
EXSS-428,Cardiac Rehabilitation,3,A study of pathophysiology of common heart diseases with concentration in the design implementation and administration of multidimensional therapeutic cardiac rehabilitation program.
EXSS-451,Exercise/Sport Psychology,3,"Provides an overview of the rapidly developing fields of exercise and sport psychology, including psychological aspects of sport performance and psychometric characteristics of sport participants. Topics in this class include the relationship of exercise to mental health. Special emphasis on theoretical and research issues important in the  field of sport psychology is given. Prerequisites: Junior or senior standing or permission of instructor; Psychology 121."
EXSS-452,Adapted Physical Ed for K-12,3,Provides instruction in appropriate teaching methods and strategies of incorporating appropriate games and activities for children with special needs.  students learn to develop and implement an adapted physical education curriculum for children in elementary through high school. Prerequisite: Junior or senior standing or permission of instructor.
EXSS-453,Motor Learning,2,"Provides an overview of the factors that affect the acquisition and performance of motor skills. Topics include the neural basis of human movement, perception, psychomotor learning and theories of neuromuscular integration, information processing, and individual differences. Methods for structuring the learning environment for optimal learning also discussed. Prerequisites: Exercise and Sport Science 356 or permission of instructor."
EXSS-482,Curr Dev-Ind/Team Sports,3,"Provides a comprehensive understanding of the teaching of individual and team sports. Also offers students the opportunity to teach the movements and skills needed to participate in lifetime individual sports, as well as the ability to design and implement lesson plans. Focus of course on secondary physical education. Prerequisites: Exercise and Sport Science 112 and 113, or 220."
EXSS-488,Internship,1 to 12,"(2-12 credits) Provides the exercise and sport science major practical experience in a specialized career area. Fosters development of skills,  competencies, and organizational and administrative techniques needed for successful entry into the work force, while working under direct supervision of selected professionals. Prerequisites: Exercise and Sport Science 150 for sport communication and sport management majors; Exercise and Sport Science 352, 388, and current CPR for all exercise science majors."
EXSS-491,Planning/Implement Coaching,2,"Provides an in-depth overview of the competencies to coach in a specific sport area. Covers advanced techniques for teaching, coaching, and performing. Prerequisite: Junior or senior standing."
EXSS-493,Curr Issues Exercise/Sport Sci,3,"The capstone course for all majors in the department. Discussion topics include research methodology, the use of basic statistics and other selected areas of research design. Students learn to critically read and evaluate research papers. Additionally, discussion and writing focuses on the current and future status of the student's career choice in today's society. Prerequisite: Final year status for majors in the department."
EXSS-499,Special Topics EXSS,1 to 3,"(1-3 credits) Provides students the opportunity to study topics of special interest not covered in regular course offerings. Topics announced. Course may be repeated, but the topic must be different. Prerequisite: Permission of instructor."
FIN-280,Introduction Personal Finance,3,"Covers information that allows students to begin their working careers well informed of their financial responsibilities. Covers the fundamentals of personal finance and emphasizes the life cycle approach to personal financial planning. Primary goals of course are (a) make participants aware of need to plan their financial future and (b) increase their knowledge of the various aspects of personal finance in order to plan their financial future effectively. Major topics are managing assets, credit and insurance, investments, and retirement planning. Helps participants begin lifelong journey toward financial literacy. Offered periodically."
FIN-361,Fundamentals of Finance,3,"Introduces core principles of time value of money, risk return analysis, financial forecasting, and security valuation. Analyzes foundations of capital budgeting techniques, cash flow estimation, taxation, and depreciation methods. Prerequisites: ACCT 210; ECON 102; min cr hrs 42."
FIN-362,Corporate Financial Policy,3,"Examines the capital budgeting, financing, dividend policy, and working capital decisions of value-maximizing firms with use of case studies. Prerequisite: FIN 361 with a minimum grade of C-. Spring."
FIN-380,Special Topics in Finance,3,"Covers topics not included in other courses, provides in-depth understanding of selected areas in finance, and explores relevant current topics. Theme varies each offering. Prerequisite: FIN 361 with a minimum grade of C-. Offered periodically."
FIN-383,Microloan Practicum,3,"This course is an experiential learning opportunity that engages students directly with a participating lending institution. Students manage a real-money loan portfolio, making individual loans to women and minority-owned businesses. Students participate in every aspect of the loan process including marketing and outreach efforts, assessment of loan applications, formulation of lending decisions, funding of loans, and monitoring loan repayments. Course is repeatable. A maximum of 3 credit hours of practicum from FIN 383 and 385 will apply as an upper level elective in the major area per degree for students pursuing the Bachelor of Science degree in Accounting or the Bachelor of Science degree in Business Administration. Additional hours will count as free electives. Prerequisite: Grade of C- or better in FIN 361 or permission of instructor."
FIN-384,Credit Analysis Lending Pra II,3,"This course sequence is an experiential learning program that engages students directly with a participating lending institution. Students will team with supervising faculty and commercial lending professionals in the process of assessing applications for commercial loans, formulation of lending decisions, and execution of the lending process. Additional emphasis is on the effects of lending outcomes on the bank's financial statements. A maximum of 3 credit hours of practicum from FIN 383, 384, 385, and 386 will apply as an upper level elective in the major area per degree for students pursuing the Bachelor of Science degree in Accounting; the Bachelor of Science degree in Business Administration with majors in finance, management, marketing, or global business; or the Bachelor of Science or Bachelor of Arts degree major in economics. Additional hours will count as free electives. Prerequisite: FIN 383 with a minimum grade of B."
FIN-385,Wealth Management Practicum,3,"This is an experiential learning program that engages students directly with individual clients in a participating wealth management firm. The primary objective is to provide students the opportunity to gain valuable hands-on experience in security research, asset valuation, asset allocation, and portfolio management, as fiduciary fund managers of a real-money investment portfolio. Students team with supervising faculty and wealth management professionals in the process of client consultation, formation of client investment objectives, and execution of portfolio strategies. Based on their research and knowledge, students make their own buy and sell decisions, defend their positions in the market, and report on the funds performance to the clients. A maximum of 3 credit hours of practicum from FIN 383 and 385 will apply as an upper level elective in the major area per degree for students pursuing the Bachelor of Science degree in Accounting or the Bachelor of Science degree in Business Administration. Additional hours will count as free electives. Prerequisite: Grade of C- or better in FIN 361 or permission of instructor."
FIN-395,Independent Study,1 to 3,"Independent research in finance conducted under faculty supervision. Prerequisites: FIN 361 with a minimum grade of C-, permission of instructor."
FIN-426,Int'l Financial Management,3,"Analyzes foreign exchange, currency futures, and options markets. Examines aspects of international banking, bond, and equity markets from the perspective of multinational corporations and institutions. Prerequisite: Finance 361. Same as Economics 426."
FIN-427,Fin Derivatives & Alt Investm,3,"The course introduces financial derivatives and their applications. Topics include features of primary financial derivatives (forwards, futures, swaps, and options), the basics of derivatives analysis, and the structure of their markets. The course also covers some advanced topics in investment strategies and risk management; includes discussion of alternative investments and investing in commodities. Prerequisite: FIN 361 or MATH 330 with a minimum grade of C-."
FIN-455,Financial Analytics,3,"This course covers topics such as computer-based modeling and forecasting and the use of analytics in auditing and consulting practices. Uses spreadsheets and other software products to analyze the impacts of financial decisions related to financial statement analysis, cash budgeting, and cost of capital determination, capital budgeting, and capital structure choices.  The course covers a variety of techniques, such as sensitivity and scenario analysis, optimization methods, Monte Carlo simulation, and regression analysis.  Same course as ACCT 455. Prerequisite: C- or better in both ACCT 310 and FIN 361."
FIN-462,Investments,3,"Develops the principles governing investment of personal funds based on modern capital market theory. Common stocks, bonds, options, and futures contracts analyzed. Prerequisites: FIN 361 with a minimum grade of C-."
FIN-470,Financial Institutions/Markets,3,The operation and management of financial institutions and the markets in which they operate discussed. Managerial and public policy issues toward financial institutions and markets also addressed. Prerequisite: Finance 361 with a minimum grade of C-. Offered alternate years. Cross listed with ECON 470.
FIN-478,Risk Management,3,Examines the principles and terminologies of insurance. Analyzes variety of insurance contracts and risk management plans. Discusses the public policy issues related to the insurance industry. Prerequisite: Finance 361 with a minimum grade of C-. Offered periodically.
FIN-482,Fin Plan Process/Environment,3,"Financial planning principles, areas, application, process, effective communication, risk evaluations, ethics and practice standards, financial planning problem solving, regulations, financial institutions. Prerequisite: Finance 361 with a minimum grade of C-. Offered periodically."
FL-111,Elementary Foreign Language,1 to 6,Used for study abroad credit in a target language not offered at the University.
FL-112,Elementary Foreign Language II,1 to 6,"Used for study abroad credit in a target language not offered at the University.

"
FL-200STAB,Foreign Lang Study Abroad,1 to 5,
